Text_Title,Cutoff_Year,Cutoff_Session,Paper_Stream,App_Total,Num_Stream_App,Text_Type,Primary_Theme,Author_Gender,Word_Count,Text_Age,Yrs_Since_Last,Sessions_Since_Last,Appd_Last_1,Appd_Last_2,Appd_Last_3,App_Next
Young & Dyslexic: You've Got it Going,2019,May/June,Non-R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
Young & Dyslexic: You've Got it Going,2019,May/June,R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
The Danger of a Single Story,2019,May/June,Non-R,0,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
The Danger of a Single Story,2019,May/June,R,0,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2019,May/June,Non-R,0,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2019,May/June,R,0,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,1
127 Hours: Between a Rock and a Hard Place,2019,May/June,Non-R,0,0,Memoir,Conflict,1,Short,Modern,999,999,0,0,0,1
127 Hours: Between a Rock and a Hard Place,2019,May/June,R,0,0,Memoir,Conflict,1,Short,Modern,999,999,0,0,0,0
A Passage to Africa,2019,May/June,Non-R,1,0,Article,Conflict,1,Medium,Modern,999,999,0,0,0,0
A Passage to Africa,2019,May/June,R,1,1,Article,Conflict,1,Medium,Modern,0,1,1,0,0,0
H is for Hawk,2019,May/June,Non-R,1,1,Memoir,Personal,0,Medium,Modern,0,2,1,0,0,0
H is for Hawk,2019,May/June,R,1,0,Memoir,Personal,0,Medium,Modern,999,999,0,0,0,0
Chinese Cinderella,2019,May/June,Non-R,0,0,Memoir,Personal,0,Medium,Mid,999,999,0,0,0,0
Chinese Cinderella,2019,May/June,R,0,0,Memoir,Personal,0,Medium,Mid,999,999,0,0,0,0
The Explorer’s Daughter,2019,May/June,Non-R,1,1,Memoir,Conflict,0,Short,Modern,0,1,1,0,0,0
The Explorer’s Daughter,2019,May/June,R,1,0,Memoir,Conflict,0,Short,Modern,999,999,0,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2019,May/June,Non-R,0,0,Article,Conflict,1,Short,Modern,999,999,0,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2019,May/June,R,0,0,Article,Conflict,1,Short,Modern,999,999,0,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2020,Jan/Feb,Non-R,1,0,Travelogue,Social,0,Long,Mid,999,999,0,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2020,Jan/Feb,R,1,1,Travelogue,Social,0,Long,Mid,1,3,1,0,0,0
Young & Dyslexic: You've Got it Going,2020,Jan/Feb,Non-R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
Young & Dyslexic: You've Got it Going,2020,Jan/Feb,R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
The Danger of a Single Story,2020,Jan/Feb,Non-R,0,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,1
The Danger of a Single Story,2020,Jan/Feb,R,0,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2020,Jan/Feb,Non-R,0,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2020,Jan/Feb,R,0,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,0
127 Hours: Between a Rock and a Hard Place,2020,Jan/Feb,Non-R,0,0,Memoir,Conflict,1,Short,Modern,999,999,0,0,0,0
127 Hours: Between a Rock and a Hard Place,2020,Jan/Feb,R,0,0,Memoir,Conflict,1,Short,Modern,999,999,0,0,0,0
A Passage to Africa,2020,Jan/Feb,Non-R,1,0,Article,Conflict,1,Medium,Modern,999,999,0,0,0,0
A Passage to Africa,2020,Jan/Feb,R,1,1,Article,Conflict,1,Medium,Modern,1,2,1,0,0,0
H is for Hawk,2020,Jan/Feb,Non-R,1,1,Memoir,Personal,0,Medium,Modern,1,3,1,0,0,0
H is for Hawk,2020,Jan/Feb,R,1,0,Memoir,Personal,0,Medium,Modern,999,999,0,0,0,1
Chinese Cinderella,2020,Jan/Feb,Non-R,1,0,Memoir,Personal,0,Medium,Mid,999,999,0,0,0,0
Chinese Cinderella,2020,Jan/Feb,R,1,1,Memoir,Personal,0,Medium,Mid,0,1,1,0,0,0
The Explorer’s Daughter,2020,Jan/Feb,Non-R,1,1,Memoir,Conflict,0,Short,Modern,1,2,1,0,0,0
The Explorer’s Daughter,2020,Jan/Feb,R,1,0,Memoir,Conflict,0,Short,Modern,999,999,0,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2020,Jan/Feb,Non-R,1,1,Article,Conflict,1,Short,Modern,0,1,1,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2020,Jan/Feb,R,1,0,Article,Conflict,1,Short,Modern,999,999,0,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2020,Oct/Nov,Non-R,1,0,Travelogue,Social,0,Long,Mid,999,999,0,0,0,1
Beyond the Sky and the Earth: A Journey into Bhutan,2020,Oct/Nov,R,1,1,Travelogue,Social,0,Long,Mid,2,4,0,1,0,0
Young & Dyslexic: You've Got it Going,2020,Oct/Nov,Non-R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
Young & Dyslexic: You've Got it Going,2020,Oct/Nov,R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
The Danger of a Single Story,2020,Oct/Nov,Non-R,0,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
The Danger of a Single Story,2020,Oct/Nov,R,0,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2020,Oct/Nov,Non-R,1,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2020,Oct/Nov,R,1,1,Travelogue,Social,0,Short,Modern,0,1,1,0,0,0
127 Hours: Between a Rock and a Hard Place,2020,Oct/Nov,Non-R,1,1,Memoir,Conflict,1,Short,Modern,0,1,1,0,0,0
127 Hours: Between a Rock and a Hard Place,2020,Oct/Nov,R,1,0,Memoir,Conflict,1,Short,Modern,999,999,0,0,0,0
A Passage to Africa,2020,Oct/Nov,Non-R,1,0,Article,Conflict,1,Medium,Modern,999,999,0,0,0,0
A Passage to Africa,2020,Oct/Nov,R,1,1,Article,Conflict,1,Medium,Modern,1,3,1,0,0,0
H is for Hawk,2020,Oct/Nov,Non-R,1,1,Memoir,Personal,0,Medium,Modern,2,4,0,1,0,0
H is for Hawk,2020,Oct/Nov,R,1,0,Memoir,Personal,0,Medium,Modern,999,999,0,0,0,0
Chinese Cinderella,2020,Oct/Nov,Non-R,1,0,Memoir,Personal,0,Medium,Mid,999,999,0,0,0,0
Chinese Cinderella,2020,Oct/Nov,R,1,1,Memoir,Personal,0,Medium,Mid,1,2,1,0,0,0
The Explorer’s Daughter,2020,Oct/Nov,Non-R,1,1,Memoir,Conflict,0,Short,Modern,1,3,1,0,0,0
The Explorer’s Daughter,2020,Oct/Nov,R,1,0,Memoir,Conflict,0,Short,Modern,999,999,0,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2020,Oct/Nov,Non-R,1,1,Article,Conflict,1,Short,Modern,1,2,1,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2020,Oct/Nov,R,1,0,Article,Conflict,1,Short,Modern,999,999,0,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2021,May/June,Non-R,1,0,Travelogue,Social,0,Long,Mid,999,999,0,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2021,May/June,R,1,1,Travelogue,Social,0,Long,Mid,3,5,0,0,1,0
Young & Dyslexic: You've Got it Going,2021,May/June,Non-R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
Young & Dyslexic: You've Got it Going,2021,May/June,R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
The Danger of a Single Story,2021,May/June,Non-R,1,1,Speech,Social,0,Medium,Modern,0,1,1,0,0,0
The Danger of a Single Story,2021,May/June,R,1,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2021,May/June,Non-R,1,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2021,May/June,R,1,1,Travelogue,Social,0,Short,Modern,1,2,1,0,0,0
127 Hours: Between a Rock and a Hard Place,2021,May/June,Non-R,1,1,Memoir,Conflict,1,Short,Modern,1,2,1,0,0,0
127 Hours: Between a Rock and a Hard Place,2021,May/June,R,1,0,Memoir,Conflict,1,Short,Modern,999,999,0,0,0,0
A Passage to Africa,2021,May/June,Non-R,1,0,Article,Conflict,1,Medium,Modern,999,999,0,0,0,0
A Passage to Africa,2021,May/June,R,1,1,Article,Conflict,1,Medium,Modern,2,4,0,1,0,0
H is for Hawk,2021,May/June,Non-R,2,1,Memoir,Personal,0,Medium,Modern,3,5,0,0,1,0
H is for Hawk,2021,May/June,R,2,1,Memoir,Personal,0,Medium,Modern,0,1,1,0,0,0
Chinese Cinderella,2021,May/June,Non-R,1,0,Memoir,Personal,0,Medium,Mid,999,999,0,0,0,0
Chinese Cinderella,2021,May/June,R,1,1,Memoir,Personal,0,Medium,Mid,2,3,0,1,0,0
The Explorer’s Daughter,2021,May/June,Non-R,1,1,Memoir,Conflict,0,Short,Modern,2,4,0,1,0,0
The Explorer’s Daughter,2021,May/June,R,1,0,Memoir,Conflict,0,Short,Modern,999,999,0,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2021,May/June,Non-R,1,1,Article,Conflict,1,Short,Modern,2,3,0,1,0,1
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2021,May/June,R,1,0,Article,Conflict,1,Short,Modern,999,999,0,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2021,Oct/Nov,Non-R,2,1,Travelogue,Social,0,Long,Mid,0,1,1,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2021,Oct/Nov,R,2,1,Travelogue,Social,0,Long,Mid,3,6,0,0,1,0
Young & Dyslexic: You've Got it Going,2021,Oct/Nov,Non-R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,1
Young & Dyslexic: You've Got it Going,2021,Oct/Nov,R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
The Danger of a Single Story,2021,Oct/Nov,Non-R,1,1,Speech,Social,0,Medium,Modern,1,1,1,0,0,0
The Danger of a Single Story,2021,Oct/Nov,R,1,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2021,Oct/Nov,Non-R,1,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2021,Oct/Nov,R,1,1,Travelogue,Social,0,Short,Modern,1,2,1,0,0,0
127 Hours: Between a Rock and a Hard Place,2021,Oct/Nov,Non-R,1,1,Memoir,Conflict,1,Short,Modern,1,2,1,0,0,0
127 Hours: Between a Rock and a Hard Place,2021,Oct/Nov,R,1,0,Memoir,Conflict,1,Short,Modern,999,999,0,0,0,0
A Passage to Africa,2021,Oct/Nov,Non-R,1,0,Article,Conflict,1,Medium,Modern,999,999,0,0,0,0
A Passage to Africa,2021,Oct/Nov,R,1,1,Article,Conflict,1,Medium,Modern,2,4,0,1,0,0
H is for Hawk,2021,Oct/Nov,Non-R,2,1,Memoir,Personal,0,Medium,Modern,3,5,0,0,1,0
H is for Hawk,2021,Oct/Nov,R,2,1,Memoir,Personal,0,Medium,Modern,1,1,1,0,0,0
Chinese Cinderella,2021,Oct/Nov,Non-R,1,0,Memoir,Personal,0,Medium,Mid,999,999,0,0,0,0
Chinese Cinderella,2021,Oct/Nov,R,1,1,Memoir,Personal,0,Medium,Mid,2,3,0,1,0,0
The Explorer’s Daughter,2021,Oct/Nov,Non-R,1,1,Memoir,Conflict,0,Short,Modern,2,4,0,1,0,0
The Explorer’s Daughter,2021,Oct/Nov,R,1,0,Memoir,Conflict,0,Short,Modern,999,999,0,0,0,1
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2021,Oct/Nov,Non-R,1,1,Article,Conflict,1,Short,Modern,2,3,0,1,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2021,Oct/Nov,R,1,0,Article,Conflict,1,Short,Modern,999,999,0,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2022,Jan/Feb,Non-R,2,1,Travelogue,Social,0,Long,Mid,0,2,1,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2022,Jan/Feb,R,2,1,Travelogue,Social,0,Long,Mid,3,7,0,0,1,0
Young & Dyslexic: You've Got it Going,2022,Jan/Feb,Non-R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
Young & Dyslexic: You've Got it Going,2022,Jan/Feb,R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
The Danger of a Single Story,2022,Jan/Feb,Non-R,1,1,Speech,Social,0,Medium,Modern,1,2,1,0,0,0
The Danger of a Single Story,2022,Jan/Feb,R,1,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2022,Jan/Feb,Non-R,1,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2022,Jan/Feb,R,1,1,Travelogue,Social,0,Short,Modern,2,3,0,1,0,0
127 Hours: Between a Rock and a Hard Place,2022,Jan/Feb,Non-R,1,1,Memoir,Conflict,1,Short,Modern,2,3,0,1,0,0
127 Hours: Between a Rock and a Hard Place,2022,Jan/Feb,R,1,0,Memoir,Conflict,1,Short,Modern,999,999,0,0,0,1
A Passage to Africa,2022,Jan/Feb,Non-R,1,0,Article,Conflict,1,Medium,Modern,999,999,0,0,0,0
A Passage to Africa,2022,Jan/Feb,R,1,1,Article,Conflict,1,Medium,Modern,3,5,0,0,1,0
H is for Hawk,2022,Jan/Feb,Non-R,2,1,Memoir,Personal,0,Medium,Modern,3,6,0,0,1,0
H is for Hawk,2022,Jan/Feb,R,2,1,Memoir,Personal,0,Medium,Modern,1,2,1,0,0,0
Chinese Cinderella,2022,Jan/Feb,Non-R,1,0,Memoir,Personal,0,Medium,Mid,999,999,0,0,0,1
Chinese Cinderella,2022,Jan/Feb,R,1,1,Memoir,Personal,0,Medium,Mid,2,4,0,1,0,0
The Explorer’s Daughter,2022,Jan/Feb,Non-R,1,1,Memoir,Conflict,0,Short,Modern,3,5,0,0,1,0
The Explorer’s Daughter,2022,Jan/Feb,R,1,0,Memoir,Conflict,0,Short,Modern,999,999,0,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2022,Jan/Feb,Non-R,2,2,Article,Conflict,1,Short,Modern,0,0,1,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2022,Jan/Feb,R,2,0,Article,Conflict,1,Short,Modern,999,999,0,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2022,May/June,Non-R,2,1,Travelogue,Social,0,Long,Mid,1,3,1,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2022,May/June,R,2,1,Travelogue,Social,0,Long,Mid,4,8,0,0,0,0
Young & Dyslexic: You've Got it Going,2022,May/June,Non-R,1,1,Article,Personal,1,Long,Modern,0,1,1,0,0,0
Young & Dyslexic: You've Got it Going,2022,May/June,R,1,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
The Danger of a Single Story,2022,May/June,Non-R,1,1,Speech,Social,0,Medium,Modern,1,3,1,0,0,0
The Danger of a Single Story,2022,May/June,R,1,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2022,May/June,Non-R,1,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2022,May/June,R,1,1,Travelogue,Social,0,Short,Modern,2,4,0,1,0,1
127 Hours: Between a Rock and a Hard Place,2022,May/June,Non-R,1,1,Memoir,Conflict,1,Short,Modern,2,4,0,1,0,0
127 Hours: Between a Rock and a Hard Place,2022,May/June,R,1,0,Memoir,Conflict,1,Short,Modern,999,999,0,0,0,0
A Passage to Africa,2022,May/June,Non-R,1,0,Article,Conflict,1,Medium,Modern,999,999,0,0,0,0
A Passage to Africa,2022,May/June,R,1,1,Article,Conflict,1,Medium,Modern,3,6,0,0,1,0
H is for Hawk,2022,May/June,Non-R,2,1,Memoir,Personal,0,Medium,Modern,4,7,0,0,0,1
H is for Hawk,2022,May/June,R,2,1,Memoir,Personal,0,Medium,Modern,1,8,1,0,0,0
Chinese Cinderella,2022,May/June,Non-R,1,0,Memoir,Personal,0,Medium,Mid,999,999,0,0,0,0
Chinese Cinderella,2022,May/June,R,1,1,Memoir,Personal,0,Medium,Mid,3,5,0,0,1,0
The Explorer’s Daughter,2022,May/June,Non-R,2,1,Memoir,Conflict,0,Short,Modern,3,6,0,0,1,0
The Explorer’s Daughter,2022,May/June,R,2,1,Memoir,Conflict,0,Short,Modern,0,1,1,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2022,May/June,Non-R,2,2,Article,Conflict,1,Short,Modern,0,1,1,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2022,May/June,R,2,0,Article,Conflict,1,Short,Modern,999,999,0,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2023,Jan/Feb,Non-R,2,1,Travelogue,Social,0,Long,Mid,1,3,1,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2023,Jan/Feb,R,2,1,Travelogue,Social,0,Long,Mid,4,8,0,0,0,0
Young & Dyslexic: You've Got it Going,2023,Jan/Feb,Non-R,1,1,Article,Personal,1,Long,Modern,1,1,1,0,0,0
Young & Dyslexic: You've Got it Going,2023,Jan/Feb,R,1,0,Article,Personal,1,Long,Modern,999,999,0,0,0,1
The Danger of a Single Story,2023,Jan/Feb,Non-R,1,1,Speech,Social,0,Medium,Modern,2,3,0,1,0,0
The Danger of a Single Story,2023,Jan/Feb,R,1,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2023,Jan/Feb,Non-R,1,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2023,Jan/Feb,R,1,1,Travelogue,Social,0,Short,Modern,3,4,0,0,1,0
127 Hours: Between a Rock and a Hard Place,2023,Jan/Feb,Non-R,2,1,Memoir,Conflict,1,Short,Modern,3,4,0,0,1,0
127 Hours: Between a Rock and a Hard Place,2023,Jan/Feb,R,2,1,Memoir,Conflict,1,Short,Modern,0,1,1,0,0,0
A Passage to Africa,2023,Jan/Feb,Non-R,1,0,Article,Conflict,1,Medium,Modern,999,999,0,0,0,1
A Passage to Africa,2023,Jan/Feb,R,1,1,Article,Conflict,1,Medium,Modern,4,6,0,0,0,0
H is for Hawk,2023,Jan/Feb,Non-R,2,1,Memoir,Personal,0,Medium,Modern,4,7,0,0,0,0
H is for Hawk,2023,Jan/Feb,R,2,1,Memoir,Personal,0,Medium,Modern,2,8,1,0,0,0
Chinese Cinderella,2023,Jan/Feb,Non-R,2,1,Memoir,Personal,0,Medium,Mid,0,1,1,0,0,0
Chinese Cinderella,2023,Jan/Feb,R,2,1,Memoir,Personal,0,Medium,Mid,3,5,0,0,1,0
The Explorer’s Daughter,2023,Jan/Feb,Non-R,2,1,Memoir,Conflict,0,Short,Modern,4,6,0,0,0,0
The Explorer’s Daughter,2023,Jan/Feb,R,2,1,Memoir,Conflict,0,Short,Modern,1,1,1,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2023,Jan/Feb,Non-R,2,2,Article,Conflict,1,Short,Modern,1,1,1,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2023,Jan/Feb,R,2,0,Article,Conflict,1,Short,Modern,999,999,0,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2023,May/June,Non-R,2,1,Travelogue,Social,0,Long,Mid,2,4,0,1,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2023,May/June,R,2,1,Travelogue,Social,0,Long,Mid,5,9,0,0,0,0
Young & Dyslexic: You've Got it Going,2023,May/June,Non-R,1,1,Article,Personal,1,Long,Modern,1,2,1,0,0,0
Young & Dyslexic: You've Got it Going,2023,May/June,R,1,0,Article,Personal,1,Long,Modern,999,999,1,0,0,0
The Danger of a Single Story,2023,May/June,Non-R,1,1,Speech,Social,0,Medium,Modern,2,4,0,1,0,0
The Danger of a Single Story,2023,May/June,R,1,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2023,May/June,Non-R,2,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2023,May/June,R,2,2,Travelogue,Social,0,Short,Modern,0,1,0,0,1,0
127 Hours: Between a Rock and a Hard Place,2023,May/June,Non-R,2,1,Memoir,Conflict,1,Short,Modern,3,5,0,0,1,1
127 Hours: Between a Rock and a Hard Place,2023,May/June,R,2,1,Memoir,Conflict,1,Short,Modern,1,2,1,0,0,0
A Passage to Africa,2023,May/June,Non-R,1,0,Article,Conflict,1,Medium,Modern,999,999,0,0,0,0
A Passage to Africa,2023,May/June,R,1,1,Article,Conflict,1,Medium,Modern,4,7,0,0,0,0
H is for Hawk,2023,May/June,Non-R,3,2,Memoir,Personal,0,Medium,Modern,0,1,0,0,0,0
H is for Hawk,2023,May/June,R,3,1,Memoir,Personal,0,Medium,Modern,2,8,1,0,0,0
Chinese Cinderella,2023,May/June,Non-R,2,1,Memoir,Personal,0,Medium,Mid,1,2,1,0,0,0
Chinese Cinderella,2023,May/June,R,2,1,Memoir,Personal,0,Medium,Mid,4,6,0,0,0,0
The Explorer’s Daughter,2023,May/June,Non-R,2,1,Memoir,Conflict,0,Short,Modern,4,7,0,0,0,0
The Explorer’s Daughter,2023,May/June,R,2,1,Memoir,Conflict,0,Short,Modern,1,2,1,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2023,May/June,Non-R,2,2,Article,Conflict,1,Short,Modern,1,2,1,0,0,0
